Category,Subcategory,Subject,Location,Start Date,End Date,Notes,URL,Description
Sports,Equestrian,The Breeder's Cup,"Del Mar, CA",11/1/2024,11/2/2024,,https://www.breederscup.com/future-host-sites,"Category: Sports
Subcategory: Equestrian
Notes: 
URL: https://www.breederscup.com/future-host-sites"
Sports,Equestrian,Melbourne Cup,"Melbourne, Australia",11/5/2024,,,https://www.flemington.com.au/melbournecupcarnival,"Category: Sports
Subcategory: Equestrian
Notes: 
URL: https://www.flemington.com.au/melbournecupcarnival"
Sports,Equestrian,Veuve Clicquot Polo Classic,"Los Angeles, CA",TBD,,"Veuve Clicquot Polo Classic, with celebs expected",https://www.veuveclicquot.com/en-us/polo-classic-veuve-clicquot,"Category: Sports
Subcategory: Equestrian
Notes: Veuve Clicquot Polo Classic, with celebs expected
URL: https://www.veuveclicquot.com/en-us/polo-classic-veuve-clicquot"
Sports,Extreme Sports,Eddie Aikau Big Wave Invitational,"O'ahu, HI",12/14/2023,3/12/2024,Contest Waiting Period ,https://www.surfline.com/surf-news/eddie-canceled-year/97888,"Category: Sports
Subcategory: Extreme Sports
Notes: Contest Waiting Period 
URL: https://www.surfline.com/surf-news/eddie-canceled-year/97888"
Sports,Extreme Sports,Vans World Cup of Surfing,"Sunset Beach, HI",1/3/2024,1/23/2024,Part of the Vans Triple Crown Tour,https://triplecrown.vans.com/,"Category: Sports
Subcategory: Extreme Sports
Notes: Part of the Vans Triple Crown Tour
URL: https://triplecrown.vans.com/"
Sports,Extreme Sports,RAM National Circuit Finals Rodeo,"Colorado Springs, CO",1/11/2024,11/13/2024,2022 Season Finals,https://www.rncfr.com/,"Category: Sports
Subcategory: Extreme Sports
Notes: 2022 Season Finals
URL: https://www.rncfr.com/"
Sports,Extreme Sports,UIAA Ice Climbing World Cup,"CheongSong, South Korea",1/12/2024,1/24/2024,Projected to take place in 2022,https://iceclimbing.sport/events/?id=66,"Category: Sports
Subcategory: Extreme Sports
Notes: Projected to take place in 2022
URL: https://iceclimbing.sport/events/?id=66"
Sports,Extreme Sports,World Championship Snowmobile Derby,"Eagle River, WI",1/18/2024,1/21/2024, ,https://derbycomplex.com/events/60th-world-championship-snowmobile-derby/,"Category: Sports
Subcategory: Extreme Sports
Notes:  
URL: https://derbycomplex.com/events/60th-world-championship-snowmobile-derby/"
Sports,Extreme Sports,Winter X Games,"Aspen, CO",1/26/2024,1/28/2024, ,http://www.xgames.com/aspen/,"Category: Sports
Subcategory: Extreme Sports
Notes:  
URL: http://www.xgames.com/aspen/"
Sports,Extreme Sports,Billabong Pipe Pro,Hawaii,1/29/2024,2/10/2024,Typically held in December. Part of the WSL Championship Tour and Vans Triple Crown; rebranded from Pipe Masters,https://www.worldsurfleague.com/events?year=2021,"Category: Sports
Subcategory: Extreme Sports
Notes: Typically held in December. Part of the WSL Championship Tour and Vans Triple Crown; rebranded from Pipe Masters
URL: https://www.worldsurfleague.com/events?year=2021"
Sports,Extreme Sports,Gold Coast Men's Pro,"Queensland, Australia",1/29/2024,,Part of the WSL Championship Tour,https://www.worldsurfleague.com/events?all=1&year=2024,"Category: Sports
Subcategory: Extreme Sports
Notes: Part of the WSL Championship Tour
URL: https://www.worldsurfleague.com/events?all=1&year=2024"
Sports,Extreme Sports,National Toboggan Championships,"Camden, ME",2/2/2024,2/4/2024,U.S. National Toboggan Championships,https://www.camdensnowbowl.com/toboggan-championships/,"Category: Sports
Subcategory: Extreme Sports
Notes: U.S. National Toboggan Championships
URL: https://www.camdensnowbowl.com/toboggan-championships/"
Sports,Extreme Sports,FIS World Championships,"Saalbach-Hinterglemm, Austria",2/7/2024,2/18/2024,,https://www.courchevelmeribel2023.com/en/home/,"Category: Sports
Subcategory: Extreme Sports
Notes: 
URL: https://www.courchevelmeribel2023.com/en/home/"
Sports,Extreme Sports,Rip Curl Bells Beach,"Victoria, Australia",3/26/2024,4/5/2024,Part of the WSL Championship Tour,https://www.worldsurfleague.com/events?all=1&year=2022,"Category: Sports
Subcategory: Extreme Sports
Notes: Part of the WSL Championship Tour
URL: https://www.worldsurfleague.com/events?all=1&year=2022"
Sports,Extreme Sports,USASA National Championships,"Colorado Springs, CO",3/29/2024,4/10/2024,,https://www.coppercolorado.com/things-to-do/events/march-events/usasa-snowboard-national-championship-23,"Category: Sports
Subcategory: Extreme Sports
Notes: 
URL: https://www.coppercolorado.com/things-to-do/events/march-events/usasa-snowboard-national-championship-23"
Sports,Extreme Sports,Margaret River Pro,"Margaret River, Australia",4/11/2024,4/21/2024,Part of the WSL Championship Tour,https://www.worldsurfleague.com/events?all=1&year=2022,"Category: Sports
Subcategory: Extreme Sports
Notes: Part of the WSL Championship Tour
URL: https://www.worldsurfleague.com/events?all=1&year=2022"
Sports,Extreme Sports,Tampa Pro Skateboarding,"Tampa, FL",5/5/2024,5/7/2024, ,https://skateparkoftampa.com/events,"Category: Sports
Subcategory: Extreme Sports
Notes:  
URL: https://skateparkoftampa.com/events"
Sports,Extreme Sports,UCI BMX World Championships,"Rock Hill, USA",5/12/2024,5/18/2024,,https://www.2024bmxworlds.com/,"Category: Sports
Subcategory: Extreme Sports
Notes: 
URL: https://www.2024bmxworlds.com/"
Sports,Extreme Sports,Tahiti Pro Teahupo'o,"Teahupo'o, Tahiti",5/22/2024,5/31/2024,Part of the WSL Championship Tour,https://www.https://www.worldsurfleague.com/events?all=1&year=2022.com/events?year=2021,"Category: Sports
Subcategory: Extreme Sports
Notes: Part of the WSL Championship Tour
URL: https://www.https://www.worldsurfleague.com/events?all=1&year=2022.com/events?year=2021"
Sports,Extreme Sports,Meo Rip Curl Pro Portugal,"Peniche, Leiria, Portugal",6/6/2024,3/16/2024,Projected to take place in 2022,https://www.worldsurfleague.com/events?year=2021,"Category: Sports
Subcategory: Extreme Sports
Notes: Projected to take place in 2022
URL: https://www.worldsurfleague.com/events?year=2021"
Sports,Extreme Sports,Oi Rio Pro,"Rio de Janeiro, Brazil",6/22/2024,7/7/2024,Part of the WSL Championship Tour,https://www.worldsurfleague.com/events?all=1&year=2022,"Category: Sports
Subcategory: Extreme Sports
Notes: Part of the WSL Championship Tour
URL: https://www.worldsurfleague.com/events?all=1&year=2022"
Sports,Extreme Sports,Mystic Sk8 Cup,"Prague, Czech Republic",6/28/2024,6/30/2024, ,https://www.facebook.com/events/mystic-sk8-cup/mystic-sk8-cup-2021/2332129137052367/,"Category: Sports
Subcategory: Extreme Sports
Notes:  
URL: https://www.facebook.com/events/mystic-sk8-cup/mystic-sk8-cup-2021/2332129137052367/"
Sports,Extreme Sports,Calgary Stampede,"Calgary, Canada",7/5/2024,7/14/2024,,https://www.calgarystampede.com/homepage,"Category: Sports
Subcategory: Extreme Sports
Notes: 
URL: https://www.calgarystampede.com/homepage"
Sports,Extreme Sports,FAI World Parachuting Championships,"Czech Rep, So Africa, No Carolina",8/31/2024,9/6/2024,9/18-24 & 10/4-10/12,https://usparachuteteam.org/World-Championships,"Category: Sports
Subcategory: Extreme Sports
Notes: 9/18-24 & 10/4-10/12
URL: https://usparachuteteam.org/World-Championships"
Sports,Extreme Sports,World Surf League Finals,"San Clemente, CA",9/6/2024,9/14/2024,No location yet,https://www.worldsurfleague.com/events?all=1&year=2022,"Category: Sports
Subcategory: Extreme Sports
Notes: No location yet
URL: https://www.worldsurfleague.com/events?all=1&year=2022"
Sports,Extreme Sports,Pro Rodeo World Championship,"Las Vegas, NV",10/18/2024,10/20/2024,,https://www.prorodeo.com/prorodeo/rodeo/rodeo-schedule,"Category: Sports
Subcategory: Extreme Sports
Notes: 
URL: https://www.prorodeo.com/prorodeo/rodeo/rodeo-schedule"
Sports,Extreme Sports,USA BMX Grands,"Tulsa, OK",11/27/2024,12/1/2024, ,https://www.usabmx.com,"Category: Sports
Subcategory: Extreme Sports
Notes:  
URL: https://www.usabmx.com"
Sports,Extreme Sports,Wrangler National Finals Rodeo,"Las Vegas, NV",TBD,TBD,,https://www.nfrexperience.com/,"Category: Sports
Subcategory: Extreme Sports
Notes: 
URL: https://www.nfrexperience.com/"
Sports,Extreme Sports,Quiksilver Pro G-Land,TBD,TBD,,Last held in 2022,https://www.worldsurfleague.com/events/2024/ct?all=1,"Category: Sports
Subcategory: Extreme Sports
Notes: Last held in 2022
URL: https://www.worldsurfleague.com/events/2024/ct?all=1"
Sports,Extreme Sports,Red Bull Rampage,"Virgin, UT",TBD,,,https://www.redbull.com/us-en/events/rampage,"Category: Sports
Subcategory: Extreme Sports
Notes: 
URL: https://www.redbull.com/us-en/events/rampage"
Sports,Extreme Sports,Red Bull King of the Air,TBD,TBD,,Nov-Dec,https://www.redbull.com/za-en/events/red-bull-king-of-the-air,"Category: Sports
Subcategory: Extreme Sports
Notes: Nov-Dec
URL: https://www.redbull.com/za-en/events/red-bull-king-of-the-air"
Sports,Extreme Sports,Summer X Games,TBD,TBD,,,https://www.xgames.com/all-x-games-events,"Category: Sports
Subcategory: Extreme Sports
Notes: 
URL: https://www.xgames.com/all-x-games-events"
Sports,Extreme Sports,Jeffrey's Bay,"Jeffreys Bay, South Africa",,,No event in 2024 Part of the WSL Championship Tour,https://www.worldsurfleague.com/events?all=1&year=2022,"Category: Sports
Subcategory: Extreme Sports
Notes: No event in 2024 Part of the WSL Championship Tour
URL: https://www.worldsurfleague.com/events?all=1&year=2022"
Sports,Fighting,USA Taekwondo National Championship,"Fort Lauderdale, FL",6/30/2024,7/6/2024,,https://aautaekwondo.org/page.php?page_id=130377,"Category: Sports
Subcategory: Fighting
Notes: 
URL: https://aautaekwondo.org/page.php?page_id=130377"
Sports,Fighting,US Open ISKA World Martial Arts Championships,"Orlando, FL",7/4/2024,7/6/2024, ,https://usopen-karate.com/,"Category: Sports
Subcategory: Fighting
Notes:  
URL: https://usopen-karate.com/"
Sports,Fighting,ATA Martial Arts Worlds,"Phoenix, AZ",7/23/2024,7/28/2024,,https://www.atamartialarts.com/events/worlds/,"Category: Sports
Subcategory: Fighting
Notes: 
URL: https://www.atamartialarts.com/events/worlds/"
Sports,Fighting,AIBA World Championships (Men's),TBD,TBD,TBD,,https://www.iba.sport/events/calendar/?cy=2024,"Category: Sports
Subcategory: Fighting
Notes: 
URL: https://www.iba.sport/events/calendar/?cy=2024"
Sports,Fighting,World Taekwondo Championships,TBD,TBD,TBD,Typically in May,http://www.worldtaekwondo.org/competition/list.html?mcd=C10,"Category: Sports
Subcategory: Fighting
Notes: Typically in May
URL: http://www.worldtaekwondo.org/competition/list.html?mcd=C10"
Sports,Fighting,World Open Martial Arts Championship,"Boston, MA",TBD,TBD,Typically held in October,https://www.wfmaf.org/en/,"Category: Sports
Subcategory: Fighting
Notes: Typically held in October
URL: https://www.wfmaf.org/en/"
Sports,Football,NCAA Championship,"Houston, TX",1/8/2024,, ,https://www.ncaa.com/news/football/article/2023-05-31/2023-24-college-football-bowl-game-schedule-scores-tv-channels-times,"Category: Sports
Subcategory: Football
Notes:  
URL: https://www.ncaa.com/news/football/article/2023-05-31/2023-24-college-football-bowl-game-schedule-scores-tv-channels-times"
Sports,Football,NFL AFC Championship,"TBD
",1/28/2024,, ,https://www.espn.com/nfl/schedule/_/week/3/year/2023/seasontype/3,"Category: Sports
Subcategory: Football
Notes:  
URL: https://www.espn.com/nfl/schedule/_/week/3/year/2023/seasontype/3"
Sports,Football,NFL NFC Championship,"TBD
",1/28/2024,, ,https://www.espn.com/nfl/schedule/_/week/3/year/2023/seasontype/3,"Category: Sports
Subcategory: Football
Notes:  
URL: https://www.espn.com/nfl/schedule/_/week/3/year/2023/seasontype/3"
Sports,Football,Senior Bowl,"Mobile, AL",2/3/2024,,"Senior Bowl all-star college football game in the U.S., sponsored by Reese's, featuring the country's best senior collegiate football stars and top NFL draft prospects on teams representing the American and National, which are coached by the entire coaching staffs from two NFL teams",http://www.seniorbowl.com/,"Category: Sports
Subcategory: Football
Notes: Senior Bowl all-star college football game in the U.S., sponsored by Reese's, featuring the country's best senior collegiate football stars and top NFL draft prospects on teams representing the American and National, which are coached by the entire coaching staffs from two NFL teams
URL: http://www.seniorbowl.com/"
Sports,Football,NFL Pro Bowl,"Orlando, FL",2/4/2024,, ,https://www.nfl.com/pro-bowl-games/event-info/,"Category: Sports
Subcategory: Football
Notes:  
URL: https://www.nfl.com/pro-bowl-games/event-info/"
Sports,Football,NFL Super Bowl,"Las Vegas, NV",2/11/2024,,,https://www.nfl.com/super-bowl,"Category: Sports
Subcategory: Football
Notes: 
URL: https://www.nfl.com/super-bowl"
Sports,Football,NFL Draft,"Detroit, MI",4/25/2024,4/27/2024, ,https://en.wikipedia.org/wiki/2024_NFL_Draft,"Category: Sports
Subcategory: Football
Notes:  
URL: https://en.wikipedia.org/wiki/2024_NFL_Draft"
Sports,Football,Grey Cup,"Vancouver, BC",11/17/2024,, ,https://en.wikipedia.org/wiki/111th_Grey_Cup,"Category: Sports
Subcategory: Football
Notes:  
URL: https://en.wikipedia.org/wiki/111th_Grey_Cup"
Sports,Golf,Sentry Tournament of Champions,"Kapalua, HI",1/4/2024,1/7/2024,PGA Tour Golf: Sentry Tournament of Champions - season-opening event open only to tournament winners from the previous year. The winner receives $1.4 million of the $8 million purse * Harris English won last year's competition,https://www.pgatour.com/tournaments/sentry-tournament-of-champions.html,"Category: Sports
Subcategory: Golf
Notes: PGA Tour Golf: Sentry Tournament of Champions - season-opening event open only to tournament winners from the previous year. The winner receives $1.4 million of the $8 million purse * Harris English won last year's competition
URL: https://www.pgatour.com/tournaments/sentry-tournament-of-champions.html"
Sports,Golf,Arnold Palmer Invitational,"Orlando, FL",3/7/2024,3/10/2024,"PGA Tour golf continues with the Arnold Palmer Invitational presented by Mastercard * Competition named after former U.S. golfer Arnold Palmer, who died in 2016",https://www.pgatour.com/schedule/2024,"Category: Sports
Subcategory: Golf
Notes: PGA Tour golf continues with the Arnold Palmer Invitational presented by Mastercard * Competition named after former U.S. golfer Arnold Palmer, who died in 2016
URL: https://www.pgatour.com/schedule/2024"
Sports,Golf,The Masters,"Augusta, GA",4/11/2024,4/14/2024,,https://www.masters.com/en_US/news/articles/2021-01-12/2021-01-12_2021_masters_to_be_conducted_with_limited_attendance.html?promo=hero_articles_2021MasterstobeConductedwithLimitedAttendance,"Category: Sports
Subcategory: Golf
Notes: 
URL: https://www.masters.com/en_US/news/articles/2021-01-12/2021-01-12_2021_masters_to_be_conducted_with_limited_attendance.html?promo=hero_articles_2021MasterstobeConductedwithLimitedAttendance"
Sports,Golf,PGA Tour Championship,"Louisville, KY",5/16/2024,5/19/2024,,https://www.pgatour.com/tournaments/schedule.html,"Category: Sports
Subcategory: Golf
Notes: 
URL: https://www.pgatour.com/tournaments/schedule.html"
Sports,Golf,US Open,"Pinehurst, NC",6/13/2024,6/16/2024,,https://www.usopen.com/,"Category: Sports
Subcategory: Golf
Notes: 
URL: https://www.usopen.com/"
Sports,Golf,John Deere Classic,"Silvis, IL",7/4/2024,7/7/2024,,https://johndeereclassic.com/,"Category: Sports
Subcategory: Golf
Notes: 
URL: https://johndeereclassic.com/"
Sports,Golf,The Open Championship,"Troon, South Ayrshire",7/18/2024,7/21/2024,,https://www.pgatour.com/tournaments/schedule.html,"Category: Sports
Subcategory: Golf
Notes: 
URL: https://www.pgatour.com/tournaments/schedule.html"
Sports,Golf,President's Cup,"Montreal, Canada",9/24/2024,9/29/2024,Biennial ,https://www.presidentscup.com/future-events.html,"Category: Sports
Subcategory: Golf
Notes: Biennial 
URL: https://www.presidentscup.com/future-events.html"
Sports,Golf,Ryder Cup,"Bethpage SP, NY",TBD,TBD,Biennial; last in 2023,https://www.rydercup.com/,"Category: Sports
Subcategory: Golf
Notes: Biennial; last in 2023
URL: https://www.rydercup.com/"
Sports,Hockey,NHL All-Star Game,"Toronto, Canada",2/1/2024,2/3/2024,,https://www.nhl.com/fans/all-star,"Category: Sports
Subcategory: Hockey
Notes: 
URL: https://www.nhl.com/fans/all-star"
Sports,Hockey,Stanley Cup Playoffs,TBD,4/15/2024,TBD,Finals begin 6/3/24,https://playoffsschedule.com/nhl-playoff-schedule/,"Category: Sports
Subcategory: Hockey
Notes: Finals begin 6/3/24
URL: https://playoffsschedule.com/nhl-playoff-schedule/"
Sports,Hockey,IIHF World Championship,Czechia,5/10/2024,5/26/2024,,https://www.iihf.com/en/events/2024/wm,"Category: Sports
Subcategory: Hockey
Notes: 
URL: https://www.iihf.com/en/events/2024/wm"
Sports,Rowing,Australian Rowing Championships,"Sydney International Regatta Centre, NSW",3/18/2024,3/24/2024,,https://arc.rowingaustralia.com.au/,"Category: Sports
Subcategory: Rowing
Notes: 
URL: https://arc.rowingaustralia.com.au/"
Sports,Rowing,The Boat Race,"London, UK",3/30/2024,,,https://www.theboatrace.org/,"Category: Sports
Subcategory: Rowing
Notes: 
URL: https://www.theboatrace.org/"
Sports,Rowing,Henley Royal Regatta,"Henley-on-Thames, UK",7/2/2024,7/7/2024,,https://www.hrr.co.uk/,"Category: Sports
Subcategory: Rowing
Notes: 
URL: https://www.hrr.co.uk/"
Sports,Rowing,Royal Canadian Henley Regatta,"Ontario, Canada",7/30/2024,8/4/2024,Typically held in August,https://www.henleyregatta.ca/,"Category: Sports
Subcategory: Rowing
Notes: Typically held in August
URL: https://www.henleyregatta.ca/"
Sports,Rowing,Head of the Charles Regatta,"Cambridge, MA",10/20/2024,10/22/2024,,https://www.hocr.org/,"Category: Sports
Subcategory: Rowing
Notes: 
URL: https://www.hocr.org/"
Sports,Rugby,Rugby Union Six Nations,Multi,2/2/2024,3/16/2024,Starting day of tournament,https://www.sixnationsrugby.com/fixtures-2020/,"Category: Sports
Subcategory: Rugby
Notes: Starting day of tournament
URL: https://www.sixnationsrugby.com/fixtures-2020/"
Sports,Rugby,Rugby League NRL Grand Final,Multi,9/5/2024,9/8/2024,NRL Telstra Premiership Finals series will begin on September 10. Given date is the Final.,"https://www.https://www.nrl.com/draw?competition=111&round=25&season=2022.com/news/2020/11/26/2021-nrl-schedule-released/#:~:text=The%20NRL%20Telstra%20Premiership%20Finals,Sunday%2C%20October%203%2C%202021.","Category: Sports
Subcategory: Rugby
Notes: NRL Telstra Premiership Finals series will begin on September 10. Given date is the Final.
URL: https://www.https://www.nrl.com/draw?competition=111&round=25&season=2022.com/news/2020/11/26/2021-nrl-schedule-released/#:~:text=The%20NRL%20Telstra%20Premiership%20Finals,Sunday%2C%20October%203%2C%202021."
Sports,Rugby,Rugby World Cup,TBD,TBD,TBD,"Bienneal, last in 2023",https://www.rugbyworldcup.com/,"Category: Sports
Subcategory: Rugby
Notes: Bienneal, last in 2023
URL: https://www.rugbyworldcup.com/"
Sports,Running,Walt Disney World Marathon,Virtual,1/3/2024,1/7/2024,End Date is marathon,https://www.rundisney.com/events/disneyworld/disneyworld-marathon-weekend/,"Category: Sports
Subcategory: Running
Notes: End Date is marathon
URL: https://www.rundisney.com/events/disneyworld/disneyworld-marathon-weekend/"
Sports,Running,Tokyo Marathon,"Tokyo, Japan",3/3/2024,,One of the Abbot World Marathon Majors,https://www.marathon.tokyo/en/,"Category: Sports
Subcategory: Running
Notes: One of the Abbot World Marathon Majors
URL: https://www.marathon.tokyo/en/"
Sports,Running,Boston Marathon,"Boston, MA",4/15/2024,,"One of the Abbot World Marathon Majors. 126th Boston Marathon - 'the world's oldest annual marathon', first run in 1897 and one of the six World Marathon Majors (with New York, Chicago, London, Berlin, and Tokyo).",https://www.baa.org/races/boston-marathon,"Category: Sports
Subcategory: Running
Notes: One of the Abbot World Marathon Majors. 126th Boston Marathon - 'the world's oldest annual marathon', first run in 1897 and one of the six World Marathon Majors (with New York, Chicago, London, Berlin, and Tokyo).
URL: https://www.baa.org/races/boston-marathon"
Sports,Running,London Marathon,"London, UK",4/21/2024,,One of the Abbot World Marathon Majors,https://www.tcslondonmarathon.com/,"Category: Sports
Subcategory: Running
Notes: One of the Abbot World Marathon Majors
URL: https://www.tcslondonmarathon.com/"
Sports,Running,Lilac Bloomsday Run,"Spokane, WA",5/5/2024,,"Typically in Spokane, Wa",https://www.bloomsdayrun.org/,"Category: Sports
Subcategory: Running
Notes: Typically in Spokane, Wa
URL: https://www.bloomsdayrun.org/"
Sports,Running,Bay to Breakers,"San Francisco, CA",5/19/2024,, ,https://capstoneraces.com/bay-to-breakers/,"Category: Sports
Subcategory: Running
Notes:  
URL: https://capstoneraces.com/bay-to-breakers/"
Sports,Running,Badwater 135,"Lone Pine, CA",7/22/2024,7/24/2024,"Badwater 135 - 'the world's toughest foot race' - covering 135 miles (217km) non-stop from Badwater Basin in Death Valley (the lowest elevation in North America) to Whitney Portal in California (the trailhead to the Mount Whitney summit, the highest point in the contiguous U.S.), in temperatures approaching up to 50 degrees Celsius",https://www.badwater.com/event/badwater-135/,"Category: Sports
Subcategory: Running
Notes: Badwater 135 - 'the world's toughest foot race' - covering 135 miles (217km) non-stop from Badwater Basin in Death Valley (the lowest elevation in North America) to Whitney Portal in California (the trailhead to the Mount Whitney summit, the highest point in the contiguous U.S.), in temperatures approaching up to 50 degrees Celsius
URL: https://www.badwater.com/event/badwater-135/"
Sports,Running,Ironman World Championship (Women),"Nice, France",9/22/2024,,,https://www.ironman.com/im-world-championship-nice,"Category: Sports
Subcategory: Running
Notes: 
URL: https://www.ironman.com/im-world-championship-nice"
Sports,Running,Berlin Marathon,"Berlin, Germany",9/29/2024,,One of the Abbot World Marathon Majors,https://www.bmw-berlin-marathon.com/en/,"Category: Sports
Subcategory: Running
Notes: One of the Abbot World Marathon Majors
URL: https://www.bmw-berlin-marathon.com/en/"
Sports,Running,Chicago Marathon,"Chicago, IL",10/13/2024,,One of the Abbot World Marathon Majors. Sponsored by Bank of America.,https://www.chicagomarathon.com/,"Category: Sports
Subcategory: Running
Notes: One of the Abbot World Marathon Majors. Sponsored by Bank of America.
URL: https://www.chicagomarathon.com/"
Sports,Running,Ironman World Championship (Men),"Kailua-Kona, HI",10/26/2024,,,https://www.ironman.com/im-world-championship,"Category: Sports
Subcategory: Running
Notes: 
URL: https://www.ironman.com/im-world-championship"
Sports,Running,Marine Corps Marathon,"Arlington, VA",10/27/2024,,Typically held in October,https://www.marinemarathon.com/,"Category: Sports
Subcategory: Running
Notes: Typically held in October
URL: https://www.marinemarathon.com/"
Sports,Running,New York City Marathon,"New York City, NY",11/3/2024,,One of the Abbot World Marathon Majors,https://www.nyrr.org/tcsnycmarathon/,"Category: Sports
Subcategory: Running
Notes: One of the Abbot World Marathon Majors
URL: https://www.nyrr.org/tcsnycmarathon/"
Sports,Running,Peachtree Road Race,"Atlanta, GA",TBD,,Spring,https://www.atlantatrackclub.org/peachtree,"Category: Sports
Subcategory: Running
Notes: Spring
URL: https://www.atlantatrackclub.org/peachtree"
Sports,Sailing,Cowes Week,"Cowes, UK",7/27/2024,8/2/2024,,https://www.solent-events.co.uk/hospitality-events/cowes-week/,"Category: Sports
Subcategory: Sailing
Notes: 
URL: https://www.solent-events.co.uk/hospitality-events/cowes-week/"
Sports,Sailing,America's Cup,"Barcelona, Spain",10/11/2024,10/12/2024,Aug-Oct 2024,https://en.wikipedia.org/wiki/37th_America's_Cup,"Category: Sports
Subcategory: Sailing
Notes: Aug-Oct 2024
URL: https://en.wikipedia.org/wiki/37th_America's_Cup"
Sports,Sailing,Volvo Ocean Race,TBD,TBD,,"Every 3-4 yrs, next in 2025",https://www.theoceanrace.com/en/news/12399_The-Ocean-Race-2021-22-route-is-announced.html,"Category: Sports
Subcategory: Sailing
Notes: Every 3-4 yrs, next in 2025
URL: https://www.theoceanrace.com/en/news/12399_The-Ocean-Race-2021-22-route-is-announced.html"
Sports,Soccer,Africa Cup of Nations,Ivory Coast,1/13/2024,2/11/2024,,https://www.cafonline.com/caf-africa-cup-of-nations/,"Category: Sports
Subcategory: Soccer
Notes: 
URL: https://www.cafonline.com/caf-africa-cup-of-nations/"
Sports,Soccer,Copa del Rey,"Seville, Spain",4/6/2024,,Date of Final,https://www.worldfootball.net/all_matches/esp-copa-del-rey-2021-2022/,"Category: Sports
Subcategory: Soccer
Notes: Date of Final
URL: https://www.worldfootball.net/all_matches/esp-copa-del-rey-2021-2022/"
Sports,Soccer,FA Cup Final,"London, UK",5/25/2024,,Given date is the Final. ,https://www.thefa.com/competitions/thefacup/round-dates,"Category: Sports
Subcategory: Soccer
Notes: Given date is the Final. 
URL: https://www.thefa.com/competitions/thefacup/round-dates"
Sports,Soccer,La Liga,Spain,5/26/2024,,Given date is the end of season. Hypermotion.,https://www.laliga.es/en,"Category: Sports
Subcategory: Soccer
Notes: Given date is the end of season. Hypermotion.
URL: https://www.laliga.es/en"
Sports,Soccer,UEFA Europa League,"Budapest, Hungary",5/29/2024,,Given date is the Final. ,https://www.uefa.com/uefaeuropaleague/,"Category: Sports
Subcategory: Soccer
Notes: Given date is the Final. 
URL: https://www.uefa.com/uefaeuropaleague/"
Sports,Soccer,UEFA Champions League,"London, UK",6/1/2024,,Given date is the Final. ,https://www.uefa.com/uefachampionsleague/,"Category: Sports
Subcategory: Soccer
Notes: Given date is the Final. 
URL: https://www.uefa.com/uefachampionsleague/"
Sports,Soccer,MLS Leagues Cup Tournament,TBD,6/15/2024,6/23/2024,2024 MLS Cup - the championship game for the Major League Soccer season:,https://www.mlssoccer.com/news/mls-next-announces-key-dates-for-2023-24-season,"Category: Sports
Subcategory: Soccer
Notes: 2024 MLS Cup - the championship game for the Major League Soccer season:
URL: https://www.mlssoccer.com/news/mls-next-announces-key-dates-for-2023-24-season"
Sports,Soccer,UEFA Euro 2024,TBD,7/14/2024,,Given date is the Final. Biennial tournament,https://www.uefa.com/euro2024/,"Category: Sports
Subcategory: Soccer
Notes: Given date is the Final. Biennial tournament
URL: https://www.uefa.com/euro2024/"
Sports,Soccer,CONMEBOL Copa América,"Miami, FL",7/14/2024,,Given date is the Final. Tournament starts on 6/20/24,https://copaamerica.com/news/conmebol-anuncia-las-sedes-de-los-partidos-de-apertura-y-final-de-la-conmebol-copa-america-2024%ef%b8%8f/,"Category: Sports
Subcategory: Soccer
Notes: Given date is the Final. Tournament starts on 6/20/24
URL: https://copaamerica.com/news/conmebol-anuncia-las-sedes-de-los-partidos-de-apertura-y-final-de-la-conmebol-copa-america-2024%ef%b8%8f/"
Sports,Soccer,MLS All-Star Game,Washington DC,7/17/2024,,"2024 MLS All-Star Game, with the best of MLS playing the Liga MX All-Stars. ",https://www.mlssoccer.com/news/columbus-to-host-2024-mls-all-star-game,"Category: Sports
Subcategory: Soccer
Notes: 2024 MLS All-Star Game, with the best of MLS playing the Liga MX All-Stars. 
URL: https://www.mlssoccer.com/news/columbus-to-host-2024-mls-all-star-game"
Sports,Soccer,CONMEBOL Copa Libertadores,TBD,11/30/2024,,Given date is the Final. Tournament starts on 2/6/24,https://www.conmebol.com/es,"Category: Sports
Subcategory: Soccer
Notes: Given date is the Final. Tournament starts on 2/6/24
URL: https://www.conmebol.com/es"
Sports,Soccer,FIFA World Cup,TBD,TBD,TBD,Next is Jun-Jul 2026,https://www.fifa.com/fifaplus/en/tournaments/mens/worldcup/canadamexicousa2026,"Category: Sports
Subcategory: Soccer
Notes: Next is Jun-Jul 2026
URL: https://www.fifa.com/fifaplus/en/tournaments/mens/worldcup/canadamexicousa2026"
Sports,Tennis,Australian Open,"Melbourne, Australia",1/14/2024,1/28/2024,,https://ausopen.com/schedule#!23481,"Category: Sports
Subcategory: Tennis
Notes: 
URL: https://ausopen.com/schedule#!23481"
Sports,Tennis,French Open,"Paris, France",5/20/2024,6/9/2024,,https://www.rolandgarros.com/,"Category: Sports
Subcategory: Tennis
Notes: 
URL: https://www.rolandgarros.com/"
Sports,Tennis,Wimbledon,"London, UK",7/1/2024,7/14/2024,,https://www.wimbledon.com/en_GB/atoz/dates.html,"Category: Sports
Subcategory: Tennis
Notes: 
URL: https://www.wimbledon.com/en_GB/atoz/dates.html"
